MNIST,Ranger,1,143.451
MNIST,Ranger,2,84.869
MNIST,Ranger,4,47.782
MNIST,Ranger,8,26.727
MNIST,Ranger,16,15.578
MNIST,Ranger,32,10.069
higgs,Ranger,1,76.499
higgs,Ranger,2,44.792
higgs,Ranger,4,27.564
higgs,Ranger,8,17.378
higgs,Ranger,16,10.207
higgs,Ranger,32,7.982
p53,Ranger,1,106.852
p53,Ranger,2,69.653
p53,Ranger,4,45.572
p53,Ranger,8,33.509
p53,Ranger,16,27.94
p53,Ranger,32,24.32
higgs,XGBoost,32,23.008
higgs,XGBoost,16,24.658
higgs,XGBoost,8,26.623
higgs,XGBoost,4,32.41
higgs,XGBoost,2,41.893
higgs,XGBoost,1,58.637
MNIST,XGBoost,32,2750.932
MNIST,XGBoost,16,2631.962
MNIST,XGBoost,8,3013.942
MNIST,XGBoost,4,3279.528
MNIST,XGBoost,2,3778.338
MNIST,XGBoost,1,4799.4
p53,XGBoost,32,1517.825
p53,XGBoost,16,1583.301
p53,XGBoost,8,1621.52
p53,XGBoost,4,2092.252
p53,XGBoost,2,2581.551
p53,XGBoost,1,3425.273
higgs,R-RerF,32,822.976
higgs,R-RerF,16,783.366
higgs,R-RerF,8,840.751
higgs,R-RerF,4,829.268
higgs,R-RerF,2,756.155
higgs,R-RerF,1,1156.141
MNIST,R-RerF,32,1214.752
MNIST,R-RerF,16,1120.417
MNIST,R-RerF,8,1242.181
MNIST,R-RerF,4,1121.923
MNIST,R-RerF,2,1377.36
MNIST,R-RerF,1,2095.155
p53,R-RerF,32,1768.865
p53,R-RerF,16,1618.211
p53,R-RerF,8,1554.95
p53,R-RerF,4,1788.62
p53,R-RerF,2,960.842
p53,R-RerF,1,1268.639
MNIST,rfBase,1,110.332
MNIST,rfBase,2,56.667
MNIST,rfBase,4,29.321
MNIST,rfBase,8,15.083
MNIST,rfBase,16,7.967
MNIST,rfBase,32,4.561
higgs,rfBase,1,57.132
higgs,rfBase,2,29.892
higgs,rfBase,4,15.843
higgs,rfBase,8,8.111
higgs,rfBase,16,4.778
higgs,rfBase,32,3.007
p53,rfBase,1,246.335
p53,rfBase,2,124.126
p53,rfBase,4,66.164
p53,rfBase,8,33.946
p53,rfBase,16,18.308
p53,rfBase,32,9.236
MNIST,rerf,1,95.926
MNIST,rerf,2,50.198
MNIST,rerf,4,28.294
MNIST,rerf,8,24.035
MNIST,rerf,16,33.866
MNIST,rerf,32,32.802
higgs,rerf,1,86.432
higgs,rerf,2,38.304
higgs,rerf,4,23.309
higgs,rerf,8,12.351
higgs,rerf,16,7.521
higgs,rerf,32,6.92
p53,rerf,1,182.582
p53,rerf,2,95.07
p53,rerf,4,49.86
p53,rerf,8,26.597
p53,rerf,16,14.39
p53,rerf,32,7.58599999999998
MNIST,binnedBase,1,140.093
MNIST,binnedBase,2,82.295
MNIST,binnedBase,4,43.013
MNIST,binnedBase,8,22.443
MNIST,binnedBase,16,12.073
MNIST,binnedBase,32,6.732
higgs,binnedBase,1,48.271
higgs,binnedBase,2,23.745
higgs,binnedBase,4,13.409
higgs,binnedBase,8,8.489
higgs,binnedBase,16,4.419
higgs,binnedBase,32,2.943
p53,binnedBase,1,241.844
p53,binnedBase,2,134.624
p53,binnedBase,4,68.988
p53,binnedBase,8,36.727
p53,binnedBase,16,19.221
p53,binnedBase,32,10.154
MNIST,binnedBaseRerF,1,144.946
MNIST,binnedBaseRerF,2,86.501
MNIST,binnedBaseRerF,4,46.275
MNIST,binnedBaseRerF,8,24.704
MNIST,binnedBaseRerF,16,12.922
MNIST,binnedBaseRerF,32,7.119
higgs,binnedBaseRerF,1,83.3
higgs,binnedBaseRerF,2,39.557
higgs,binnedBaseRerF,4,22.54
higgs,binnedBaseRerF,8,13.034
higgs,binnedBaseRerF,16,6.924
higgs,binnedBaseRerF,32,4.129
p53,binnedBaseRerF,1,213.661
p53,binnedBaseRerF,2,115.637
p53,binnedBaseRerF,4,65.287
p53,binnedBaseRerF,8,32.416
p53,binnedBaseRerF,16,17.613
p53,binnedBaseRerF,32,9.166
MNIST,Rborist,1,152.244
